flower_part,sort,BAER,BOLE,COER,EPMI,GRBU,GRSP,HATE,HEPU,LEES,PELA,PEPU,PHPH,PILI,PUTU
inflorescence_stalk,1,,,count,,count,count,,,,,,,count,
inflorescence_bud_tiny,2,,,count,,,,count,,,,,,,
inflorescence_bud_small,3,,,,,count,count,count,,,,,,,
inflorescence_bud_mid,4,,,count,,,,count,,,,,,count,
inflorescence_bud_big_bracts,5,,,,,,,count,,,,,,,
inflorescence_bud_big_flowers,6,,,,,,,count,,,,,,,
inflorescence_stalk_in_fruit,7,,,count,,,count,,,,,,,,
inflorescence_stalk_in_fruit_large,8,,,count,,,,,,,,,,,
inflorescence_stalk_in_fruit_very_large,9,,,count,,,,,,,,,,,
bud_aborted,10,,,,,,,,,count,,count,,,
bud_tiny,11,count_by_length,count,,count; count_by_length,count,count,,,count; count_by_length,,count,,,
bud_small,12,count_by_length,count,,,count,count,,count,,count,,count,,
bud_mid,13,count_by_length,count,,count; count_by_length,count,count,,,count; count_by_length,count,,count,,
bud_big,14,count_by_length,count,count,count; count_by_length,count,count,,count,count; count_by_length,count,count,,count,count
bud_just_opening,15,count_by_length,,,,,count,,,,,,,,
flower_petals,16,count_by_length,count,count,count; count_by_length,count,count,count,count,count; count_by_length,count,count,count,count,count
flower_petals_small,17,,,,,,,,,,,,count,,
flower_stigma,18,count_by_length,,count,,count,count,count,,,count,count,count,count,count
flower_calyx,19,,count,,count; count_by_length,,,,count,count; count_by_length,,count,count,count,count
flower_calyx_aborting,20,,,,,,,,count,,,,,,
flower_aborted,21,,,,,,,,,,,,count,,count
flower_aborted_without_petals,22,,,,,,,,,,,,count,,
flower_style,23,count_by_length,,,,,,,,,,,,,
finished_flower,24,,count,count,count; count_by_length,,,,count,count; count_by_length,,,,,
finished_flower_aborting,25,,,,,,,,count,,,,,,
finished_flower_stigma,26,count_by_length,count,,,count,count,count,,,count,,count,,count
late_finished_flower,27,,count,,,,,,,,,,,,
late_flower_petals,28,,count,,,,,,,,,,,,
bract_flower_or_finished_flower,29,,,,,,,,,,,,count,count,count
fruit_just_starting,30,count,count,count,,count,count,count,,count; count_by_length,count,count,count,,
fruit_young,31,count,count,count,count; count_by_length,count,count,count,count,count; count_by_length,count,count,count,count,
fruit_young_aborting,32,,,,,,,,count,,,,,,
fruit_large_immature_01,33,count,count,count,count; count_by_length,regress_by_dim,regress_by_dim,count,count,count; count_by_length,regress_by_dim,count,count,count,count
fruit_large_immature_02,34,,,,,regress_by_dim,regress_by_dim,,,,regress_by_dim,,,,
fruit_large_immature_03,35,,,,,regress_by_dim,regress_by_dim,,,,regress_by_dim,,,,
fruit_large_immature_04,36,,,,,regress_by_dim,regress_by_dim,,,,regress_by_dim,,,,
fruit_large_immature_05,37,,,,,regress_by_dim,regress_by_dim,,,,regress_by_dim,,,,
fruit_large_immature_06,38,,,,,regress_by_dim,regress_by_dim,,,,regress_by_dim,,,,
fruit_large_immature_aborting,39,,,,,,,,count,,,,,,
fruit_aborted,40,,,,,,,count,count,count; count_by_length,,count,count,count,count
fruit_empty,41,,,,,,,,,,,count,,,
fruit_mature,42,,,count,,,,,count,count; count_by_length,,count,,,
calyx_fruit,43,,,,,,,,count,count; count_by_length,,,,,
bract_fruit,44,,,count,,,,,,,,,,,
pedicel,45,,count,,,count,count,,,,count,,,,
seed_pod,46,count,count,,count; count_by_length,regress_by_dim,regress_by_dim,count,,,regress_by_dim,,count,count,count
seed_immature,47,,,,,,,count,,,,,,,
seed_aborted,48,count,count,,,count,count,count,,,,,count,,count
seed,49,count,count,,count; count_by_length,count,count,count,,,regress_by_dim,,count,count,count
cone_just_starting_01,50,,,,,,,,,,,regress_by_dim,,,
cone_just_starting_02,51,,,,,,,,,,,regress_by_dim,,,
cone_just_starting_03,52,,,,,,,,,,,regress_by_dim,,,
cone_just_starting_04,53,,,,,,,,,,,regress_by_dim,,,
cone_just_starting_05,54,,,,,,,,,,,regress_by_dim,,,
cone_young_01,55,regress_by_dim,,,,,,,,,,regress_by_dim,,,
cone_young_02,56,regress_by_dim,,,,,,,,,,regress_by_dim,,,
cone_young_03,57,regress_by_dim,,,,,,,,,,regress_by_dim,,,
cone_young_04,58,regress_by_dim,,,,,,,,,,regress_by_dim,,,
cone_green_01,59,volume,,,,,,,,,,volume,,,
cone_green_02,60,volume,,,,,,,,,,volume,,,
cone_green_03,61,volume,,,,,,,,,,volume,,,
cone_green_04,62,volume,,,,,,,,,,volume,,,
cone_brown_no_expanded_follicles,63,volume,,,,,,,,,,volume,,,
cone_brown,64,volume,,,,,,,,,,volume,,,
cone_aborted,65,regress_by_dim,,,,,,,,,,regress_by_dim,,,
cone_base_green_01,66,volume,,,,,,,,,,,,,
cone_base_green_02,67,volume,,,,,,,,,,,,,
cone_base_green_03,68,volume,,,,,,,,,,,,,
cone_base_green_04,69,volume,,,,,,,,,,,,,
cone_base_brown,70,volume,,,,,,,,,,,,,
