species,site,age,age_exact,branch_age,branch_code,branch_type,juvenile,date_collected,indiv_pooled,lvs_per_ind,leaf_number,weight,leaf_area,LMA,leaf_area_m,weight_kg,LMA_kgm,notes
BAER,Wilunga2012,1.4,1.35,young,1,main,adult,7-May-14,4,8,32,0.1508,6.86323,0.022,0.000686323,0.0001508,0.22,
BAER,Wilunga2012,1.4,1.35,mid,2,main,2,7-May-14,4,8,32,0.2018,9.09808,0.0222,0.000909808,0.0002018,0.222,
BAER,Wilunga2012,1.4,1.35,old,3,main,1,7-May-14,4,5,16,0.2952,15.74846,0.0187,0.001574846,0.0002952,0.187,1st big leaves
BAER,Waratah2011,2.4,2.4,young,1,main,adult,27-Feb-14,4,12,50,0.1807,7.60763,0.0238,0.000760763,0.0001807,0.238,
BAER,Waratah2011,2.4,2.4,mid,2,main,adult,27-Feb-14,4,10,46,0.2646,10.01597,0.0264,0.001001597,0.0002646,0.264,
BAER,Waratah2011,2.4,2.4,old,3,main,2,27-Feb-14,4,5,20,0.1492,6.78503,0.022,0.000678503,0.0001492,0.22,
BAER,Basin2007,5,5,young,1,main,adult,15-Apr-14,4,8,32,0.0782,3.82754,0.0204,0.000382754,0.0000782,0.204,
BAER,Basin2007,5,5,mid,2,main,adult,15-Apr-14,4,8,32,0.0856,4.57943,0.0187,0.000457943,0.0000856,0.187,
BAER,Basin2007,5,5,old,3,main,adult,15-Apr-14,4,8,32,0.0898,4.23475,0.0212,0.000423475,0.0000898,0.212,
BAER,Basin2005,7,7,young,1,main,adult,15-Apr-14,5,8,40,0.1127,4.96311,0.0227,0.000496311,0.0001127,0.227,
BAER,Basin2005,7,7,mid,2,main,adult,15-Apr-14,5,8,40,0.15,6.70911,0.0224,0.000670911,0.00015,0.224,
BAER,Basin2005,7,7,old,3,main,adult,15-Apr-14,4,8,40,0.1426,7.62177,0.019,0.000762177,0.0001426,0.187,
BAER,Waratah2003,9,9,young,1,main,adult,14-Mar-14,5,8,40,0.1424,6.61303,0.0215,0.000661303,0.0001424,0.215,
BAER,Waratah2003,9,9,mid,2,main,adult,14-Mar-14,5,8,40,0.1554,5.83331,0.0266,0.000583331,0.0001554,0.266,
BAER,Waratah2003,9,9,old,3,main,adult,14-Mar-14,5,8,40,0.1853,6.61811,0.028,0.000661811,0.0001853,0.28,
BAER,Basin1981,32,32,young,1,main,adult,7-May-14,5,10,53,0.1376,5.75797,0.0239,0.000575797,0.0001376,0.239,
BAER,Basin1981,32,32,mid,2,main,adult,7-May-14,5,8,38,0.1499,6.33492,0.0237,0.000633492,0.0001499,0.237,
BAER,Basin1981,32,32,old,3,main,adult,7-May-14,5,10,40,0.1854,7.20518,0.0257,0.000720518,0.0001854,0.257,
BOLE,Wilunga2012,1.4,1.35,young,1,main,adult,7-May-14,4,2,30,0.1968,15.7262,0.0125,0.00157262,0.0001968,0.125,"3x and 5x ""adult"" leaves"
BOLE,Wilunga2012,1.4,1.35,mid,2,main,3,7-May-14,5,2,10,0.4029,37.94444,0.0106,0.003794444,0.0004029,0.106,1st 3-part leaves
BOLE,Wilunga2012,1.4,1.35,old,3,main,2,7-May-14,5,2,10,0.189,19.04804,0.0099,0.001904804,0.000189,0.099,1st fatter oval leaves
BOLE,Wilunga2012,1.4,1.35,very old,4,main,1,7-May-14,3,2,6,0.0306,2.77587,0.011,0.000277587,0.0000306,0.11,1st skinny oval leaves after cotyledon
BOLE,Waratah2011,2.4,2.4,young,1,main,adult,27-Feb-14,4,5,19,0.2255,10.65122,0.0212,0.001065122,0.0002255,0.212,
BOLE,Waratah2011,2.4,2.4,mid,2,main,adult,27-Feb-14,4,4,14,0.3057,16.96019,0.018,0.001696019,0.0003057,0.18,
BOLE,Waratah2011,2.4,2.4,old,3,main,3,27-Feb-14,4,4,15,0.4354,28.83665,0.0151,0.002883665,0.0004354,0.151,
BOLE,Basin2007,5,5,young,1,main,adult,15-Apr-14,4,5,20,0.1142,6.79349,0.0168,0.000679349,0.0001142,0.168,
BOLE,Basin2007,5,5,mid,2,main,adult,15-Apr-14,4,5,20,0.228,11.52319,0.0198,0.001152319,0.000228,0.198,
BOLE,Basin2005,7,7,young,1,main,adult,15-Apr-14,4,5,20,0.1557,8.23402,0.0189,0.000823402,0.0001557,0.189,
BOLE,Basin2005,7,7,mid,2,main,adult,15-Apr-14,4,5,19,0.1921,9.46091,0.0203,0.000946091,0.0001921,0.203,
BOLE,Waratah2003,9,9,young,1,main,adult,14-Mar-14,3,6,18,0.1231,5.94457,0.0207,0.000594457,0.0001231,0.207,
BOLE,Waratah2003,9,9,mid,2,main,adult,14-Mar-14,1,7,7,0.0826,3.962,0.0208,0.0003962,0.0000826,0.208,
COER,Wilunga2012,1.4,1.35,young,1,main,adult,7-May-14,1,8,8,0.0084,0.4563,0.0184,0.00004563,0.0000084,0.184,"once ""short"" normal leaves are produced"
COER,Wilunga2012,1.4,1.35,mid,2,main,2,7-May-14,4,6,24,0.0661,4.33088,0.0153,0.000433088,0.0000661,0.153,2nd set of leaves after coty
COER,Wilunga2012,1.4,1.35,old,3,main,1,7-May-14,4,4,15,0.0707,3.85094,0.0184,0.000385094,0.0000707,0.184,1st leaves after cotyledon
COER,Waratah2011,2.4,2.4,young,1,main,adult,27-Feb-14,4,10,37,0.0403,3.91287,0.0103,0.000391287,0.0000403,0.103,
COER,Waratah2011,2.4,2.4,mid,2,main,adult,27-Feb-14,4,11,44,0.0733,4.38174,0.0167,0.000438174,0.0000733,0.167,
COER,Waratah2011,2.4,2.4,old,3,main,3,27-Feb-14,4,5,20,0.0993,5.14179,0.0193,0.000514179,0.0000993,0.193,
COER,Basin2007,5,5,young,1,main,adult,15-Apr-14,4,8,32,0.0558,2.4296,0.023,0.00024296,0.0000558,0.23,
