variable,keep,meaning,units,extra notes,source of calculation
site,1,site at Kuringgai,,,individuals.csv
species,1,species 4 letter code,,,individuals.csv
individual,1,individual plants measured for the study,,,individuals.csv
start_end,1,variable indicating if data is from census at the beginning or the end of the study,categorical,,harvest.csv
age,1,"age at harvest; Waratah 2011 (2012 harvest) and Wilunga 2012 (2013 harvest) are asigned the same age, even though the  plants at the Waratah site are very slightly older",yrs,,individuals.csv
aborted_ovule_count,1,count of ovules that are aborted during the developmental trajectory,count,ovule_count - seed_count,ReproductionTissues.R
accessory_costs,1,carbon investment in accessory tissues per mature propagule formed,mg,repro_costs - embryo_endo_costs,Summaries.R
accessory_costs_using_seedweight,1,carbon investment in accessory tissues per mature seed formed,mg,repro_costs - propagule_costs,Summaries.R
accessory_inv,1,carbon investment in all accessory tissues,mg,repro_inv - embryo_endo_inv,Summaries.R
all_leaf_and_repro_inv,1,carbon investment in all leaves (replacement + growth) and all reproductive tissues,mg,repro_inv + leaf_replacement + growth_leaf_pos,Summaries.R
all_leaf_inv,1,carbon investment in all leaves (replacement + growth) ,mg,leaf_replacement + growth_leaf_pos,Summaries.R
choosiness,1,inverse of seedset,proportion,ovule_count / seed_count,ReproductionTissues.R
cone_count,1,count of cones initiated,count,,ReproductionTissues.R
count_per_length,1,count of leaves per length; relevent only to some species; used for calculated various leaf lifespan variables,count/mm,,leaves_per_length.csv; Summaries.R
diameter,1,plant basal diameter at end of study; diameter measured ~10 cm from base of plants to avoid basal swelling,mm,,harvest.csv; Growth.R
diameter_0,1,plant basal diameter at start of study; diameter measured ~10 cm from base of plants to avoid basal swelling,mm,diameter - growth_stem_diameter,harvest.csv; Summaries.csv
discarded_costs,1,per mature seed carbon investment into all reproductive tissues not associated with the formation of a mature seed,mg,discarded_inv/seed_count,ReproductionTissues.R
discarded_inv,1,carbon investment into all reproductive tissues not associated with the formation of a mature seed,mg,repro_inv - success_inv,ReproductionTissues.R
embryo_endo_costs,1,per mature seed carbon investment into embryo and endosperm tissues,mg,seed_size*prop_endo,Summaries.R
embryo_endo_inv,1,total carbon investment into embryo and endosperm tissues,mg,embryo_endo_costs*seed_count,Summaries.R
embryo_endo_size,1,"species mean weight of an embryo + endosperm, as calculated by dissecting seeds; from our research or other sources",mg,,seedsize.csv
flower_inv,1,"a proxy measure showing good way to estimate total repro inv; doesn't have exact meaning since ""repro all count"" includes aborted buds",mg,pollen_attract_costs*ovule_count,Summaries.R
fruit_costs,1,mass of a single fruit,mg,,ReproductionTissues.R
fruit_inv,1,carbon investment in mature fruits formed,mg,fruit_costs*seed_count,ReproductionTissues.R
gross_inv,1,carbon investment in all tissue types measured,mg,repro_inv + growth_leaf_pos + leaf_replacement + growth_stem,Summaries.R
growth_height,1,increase in plant height across the study year,mm,"c(NA, diff(height))",Growth.R
growth_inv,1,carbon investment in stems and leaves across the study year leading to a larger plant,mg/yr,"growth_stem + growth_leaf; see also line 138 in Growth.R, but later overwritten",Summaries.R
growth_leaf,1,carbon investment in leaves across the study year leading to a larger plant,mg/yr,"c(NA, diff(leaf_weight_est))",Growth.R
growth_leaf_area,1,increase in leaf area across the study year,mm2,growth_leaf/(1000 * LMA),Summaries.R
growth_leaf_neg,1,"has a non-zero value, when there is ""negative"" leaf area growth - i.e. carbon investment in leaf replacement is less than leaf loss",mg,,Summaries.R
growth_leaf_pos,1,"has a non-zero value, when there is ""positive"" leaf area growth - i.e. carbon investment in leaf replacement is greater than leaf loss",mg,,Summaries.R
growth_leaf_prop_no_accessory,1,"invesment in embryo and leaf expansion as a proportion of total investment, but ignoring accessory costs",proportion,"divide_zero((embryo_endo_inv+growth_leaf_pos),(growth_leaf_pos + leaf_replacement + growth_stem + embryo_endo_inv))",Summaries.R
growth_shoot_length,1,yearly increase in leader shoot length,mm,,leaderGrowthLL.csv
growth_stem,1,carbon investment in stems across the study year,mg/yr,"c(NA, diff(stem_weight_est))",Growth.R
growth_stem_area,1,increase in stem area across the study year,mm2,"c(NA, diff(stem_area))",Growth.R
growth_stem_diameter,1,increase in stem diameter across the study year,mm,"c(NA, diff(diameter))",Growth.R
height,1,plant height at end of study,mm,,harvest.csv; Growth.R
height_0,1,plant height at start of study,mm,height - growth_height,Summaries.R
inflorescence_count,1,count of inflorescences,count,,ReproductionTissues.R
leaf_area,1,leaf surface area at end of study; calculated from site specific LMA and individual leaf weight,mm2,leaf_weight/(1000 * LMA),Summaries.R
leaf_area_0,1,leaf surface area at start of study; calculated from site specific LMA and individual leaf weight,mm2,leaf_area - growth_leaf_area,Summaries.R
leaf_inv_gross,1,"total carbon investment in leaves, including both investment to replace shed leaves and investment to increase leaf mass",mg,leaf_shed +  growth_leaf,Summaries.R
leaf_replacement,1,carbon investment replacing shed leaves,mg,leaf_shed + growth_leaf_neg,Summaries.R
leaf_repro_inv,,carbon investment in all reproductive materials and leaves that increase the plant's leaf mass,mg,repro_inv + growth_leaf,Summaries.R
leaf_shed,1,"yearly loss of leaves, measured as carbon dry weight",mg,leaf_weight_0 * prop_leaf_loss,Summaries.R
leaf_size,1,average leaf size among leaves measured for LMA,mm2,,LMA.csv
leaf_weight,1,leaf mass at end of study,mg,,Growth.R
leaf_weight_0,1,leaf mass at start of study,mg,leaf_weight - growth_leaf,Summaries.R
lifespan,1,approximate lifespan in the absense of fire,yrs,,seedsize.csv
LMA,1,a site level measurement of leaf mass per area,g/cm2,,LMA.csv
lvs_end,1,"total leaf count at the end of the study, taking into account ""counts"" and ""leaves per length"" measurements ",count,lvs_end_count + (lvs_end_length * count_per_length),Summaries.R
lvs_end_count,1,count of leaves along the leader that were counted at both the beginning and end of the study,count,,leaderGrowthLL.csv
lvs_end_length,1,leaves along the leader that were counted at both the beginning and end of the study,mm,,leaderGrowthLL.csv
mature,1,"indicates if the plant has begun flowering; plants that have flowered in the past, even if they did not produce flowers during the census year, are designated as mature",categorical,,individuals.csv
maturity,1,age at which the species is first widely flowering ,yrs,,seedsize.csv
maxH,1,"species maximum height, assessed among individuals included in the study",mm,,Summaries.R
ovule_count,1,count of all ovules,count,,ReproductionTissues.R
ovule_per_ovary,1,number of ovules per ovary; for EPMI is a mean of multiple individuals and for other species is assumed to be fixed,,,seedsize.csv
pack_disp_success_inv,1,carbon investment into packaging and dispersal costs for seeds that successfully mature,mg,seed_count*packaging_dispersal_costs,ReproductionTissues.R
packaging_dispersal_costs,1,"per mature seed, post-pollination carbon investment",mg,packaging_dispersal_costs_temp - prepollen_costs_from_pack_disp_tissues,ReproductionTissues.R
packaging_dispersal_costs_temp,1,"per mature seed, carbon investment in all tissues designated as ""packaging and dispersal""; a placeholder variable until pre-pollination investment in these tissues is subtracted off",mg,,ReproductionTissues.R
pollen_attract_costs,1,"per mature seed, total cost of pollinator attraction tissues",mg,,ReproductionTissues.R
pollen_set,1,proportion of ovules that are part of mature flowers that add some weight post-pollination; not all become mature seeds,proportion,postpollen_count/prepollen_count_reach_flowering,ReproductionTissues.R
postpollen_aborted_costs,1,"per mature seed, carbon investment in packaging and dispersal tissues associated with zygotes that are aborted",mg,"divide_zero(postpollen_aborted_inv,seed_count)",Summaries.R
postpollen_aborted_count,1,"count of ovules aborted after becoming a zygote, but that do not become a mature seed",count,,ReproductionTissues.R
postpollen_aborted_inv,1,carbon investment in packaging and dispersal tissues associated with zygotes that are aborted,mg,postpollen_all_inv - propagule_inv - pack_disp_success_inv,ReproductionTissues.R
postpollen_all_costs,1,"per mature seed, all carbon investment into tissues after the point of pollination",mg,"divide_zero(postpollen_all_inv,seed_count)",Summaries.R
postpollen_all_inv,1,all carbon investment into tissues after the point of pollination,mg,,ReproductionTissues.R
postpollen_count,1,"count of zygotes, both those recoming mature seeds and that are aborted",count,,ReproductionTissues.R
postpollen_temp_inv,1,"carbon investment in all tissues designated as ""postpollination""; a placeholder variable until pre-pollination investment in these tissues is subtracted off",mg,,ReproductionTissues.R
prepollen_all_costs,1,"per mature seed, all carbon investment into tissues up to the point of pollination",mg,"divide_zero(prepollen_all_inv,seed_count)",Summaries.R
prepollen_all_inv,1,carbon investment in all pollinator attraction tissues,mg,,ReproductionTissues.R
prepollen_costs_from_pack_disp_tissues,1,"per mature seed, the carbon investment into packaging and dispersal tissues that occurs up to the point of pollination",mg,"divide_zero(Costs$prepollen_inv_from_pack_disp_tissues,
    Costs$prepollen_count_reach_flowering)",ReproductionTissues.R
