Species,Part,Description,Method,Ovules per unit,Multiplier factor
Banksia ericifolia,"bud, tiny",buds that are just starting to form; includes all flower parts,count\_per\_length,2,2
Banksia ericifolia,"bud, small",small buds; includes all flower parts,count\_per\_length,2,2
Banksia ericifolia,"bud, mid-sized",mid-sized buds; includes all flower parts,count\_per\_length,2,2
Banksia ericifolia,"bud, big",large buds; includes all flower parts,count\_per\_length,2,2
Banksia ericifolia,"bud, opening",buds just starting to open; includes all flower parts,count\_per\_length,2,2
Banksia ericifolia,"petals, in flower",flower petals and stamens,count\_per\_length,2,2
Banksia ericifolia,"carpel, in flower",entire carpel from a flower in full bloom,count\_per\_length,2,2
Banksia ericifolia,"style, finished flower","stigma \& style, but not ovary from a finished flower",count\_per\_length,2,2
Banksia ericifolia,"carpel, finished flower",carpel just after flowering,count\_per\_length,2,2
Banksia ericifolia,"fruit, just starting",small fruit - corn kernel sized,count,2,2
Banksia ericifolia,"fruit, young",mid-sized fruit,count,2,2
Banksia ericifolia,"fruit, large immature, stage 01",large green fruit - nearly full sized,count,2,2
Banksia ericifolia,seed pod,"mature seed pod, including papery layer between seeds; removed from cone",count,2,2
Banksia ericifolia,"seed, aborted","aborted, flat seeds; for tagged plants, removed and weighed actual seeds from cones",count,1,1
Banksia ericifolia,seed,"fully mature seeds; for tagged plants, removed and weighed actual seeds from cones",count,1,1
Banksia ericifolia,"cone, young, stage 01","young cone that is still quite skinny and mostly lengthening, although some increase in width as well; base included in length at this stage",length,variable,1
Banksia ericifolia,"cone, young, stage 02","young cone that is still quite skinny and mostly lengthening, although some increase in width as well; base included in length at this stage",length,variable,1
Banksia ericifolia,"cone, young, stage 03","young cone that is still quite skinny and mostly lengthening, although some increase in width as well; base included in length at this stage",length,variable,1
Banksia ericifolia,"cone, young, stage 04","young cone that is still quite skinny and mostly lengthening, although some increase in width as well; base included in length at this stage",length,variable,1
Banksia ericifolia,"cone, green, stage 01","young cone that is no beginning to widen, as well as lengthen; usually at ""tiny\_bud"" stage, but on some robust plants, reach this stage before buds begin expanding; can stay at this stage through several size transitions; base weighed separately at this stage",volume,variable,1
Banksia ericifolia,"cone, green, stage 02","young cone that is no beginning to widen, as well as lengthen; usually at ""tiny\_bud"" stage, but on some robust plants, reach this stage before buds begin expanding; can stay at this stage through several size transitions; base weighed separately at this stage",volume,variable,1
Banksia ericifolia,"cone, green, stage 03","young cone that is no beginning to widen, as well as lengthen; usually at ""tiny\_bud"" stage, but on some robust plants, reach this stage before buds begin expanding; can stay at this stage through several size transitions; base weighed separately at this stage",volume,variable,1
Banksia ericifolia,"cone, green, stage 04","young cone that is no beginning to widen, as well as lengthen; usually at ""tiny\_bud"" stage, but on some robust plants, reach this stage before buds begin expanding; can stay at this stage through several size transitions; base weighed separately at this stage",volume,variable,1
Banksia ericifolia,"cone, brown without mature fruit","mature, dry cone where no follicles matured; quite skinny and floppy compared to ""cone\_brown""",volume,variable,1
Banksia ericifolia,"cone, brown","mature, dry cone containing at least some mature follicles",volume,variable,1
Banksia ericifolia,"cone, aborted","cone that has aborted long before flowering; usually transitions to this from a small-sized ""cone\_green""",length,variable,1
Banksia ericifolia,"cone base, green, stage 01",base of a growing cone; woody section that elevates cone above branch and has no flowers,volume,variable,1
Banksia ericifolia,"cone base, green, stage 02",base of a growing cone; woody section that elevates cone above branch and has no flowers,volume,variable,1
Banksia ericifolia,"cone base, green, stage 03",base of a growing cone; woody section that elevates cone above branch and has no flowers,volume,variable,1
Banksia ericifolia,"cone base, green, stage 04",base of a growing cone; woody section that elevates cone above branch and has no flowers,volume,variable,1
Banksia ericifolia,"cone base, brown",base of a mature cone; woody section that elevates cone above branch and has no flowers,volume,variable,1
Boronia ledifolia,"bud, tiny","buds that are just starting to form; all flower parts, including pedicel",count,4,4
Boronia ledifolia,"bud, small","small buds; all flower parts, including pedicel",count,4,4
Boronia ledifolia,"bud, mid-sized","mid-sized buds; all flower parts, including pedicel",count,4,4
Boronia ledifolia,"bud, big","large buds; all flower parts, including pedicel",count,4,4
Boronia ledifolia,"petals, in flower",set of 4 petals from 1 flower,count,4,4
Boronia ledifolia,"calyx, flower","calyx, carpel, stamens",count,4,4
Boronia ledifolia,finished flower,"flower with petals that have closed after flowering; the carpels, petals, and pedicel have been removed",count,4,4
Boronia ledifolia,"carpel, finished flower",single carpel from a finished flower (1 of a set of 4),count,1,1
Boronia ledifolia,"finished flower, late stage","calyx from late finished flower with the carpels, petals, and pedicel removed",count,4,4
Boronia ledifolia,"petals, late stage flower",petals from flower that is enclosing developing fruits; they are bigger than petals during flowering,count,4,4
Boronia ledifolia,"fruit, just starting",small fruit,count,1,1
Boronia ledifolia,"fruit, young",mid-sized fruit,count,1,1
Boronia ledifolia,"fruit, large immature, stage 01",large green fruit,count,1,1
Boronia ledifolia,pedicel,pedicel from a flower or finished flower,count,4,4
Boronia ledifolia,seed pod,seed pod once fruit is large and black,count,1,1
Boronia ledifolia,seed,"smooth, glossy black seed",count,1,1
Conospermum ericifolium,"inflorescence stalk, in flower","inflorescence stalk for buds, flowers or finished flowers",count,variable,1
Conospermum ericifolium,"inflorescence bud, tiny",unstalked inflorescence bud; weight includes stalk and miniature buds; long before individual buds are discernable,count,variable,1
Conospermum ericifolium,"inflorescence bud, mid-sized",stalked  inflorescence bud; weight includes stalk and miniature buds; stage before individual buds are discernable,count,variable,1
Conospermum ericifolium,"inflorescence stalk, in fruit",unbranched fruiting stems,count,variable,1
Conospermum ericifolium,"inflorescence stalk large, in fruit",fruiting stems with a single branch,count,variable,1
Conospermum ericifolium,"inflorescence stalk very large, in fruit",fruiting stems with two branches,count,variable,1
Conospermum ericifolium,"bud, big","large buds; all flower parts, including bract",count,1,1
Conospermum ericifolium,"petals, in flower","flower petals, collected from very late finished fruit, as this is the first point petals detach from the rest",count,1,1
Conospermum ericifolium,"carpel, in flower","carpel and bract from individual in full flower; since petals still firmly attached at flowering stage, weight determined by subtracting ""flower\_all\_parts"" - ""flower petals""",count,1,1
Conospermum ericifolium,finished flower,"browning flower; includes bract, ovary; weight of petals subtracted off, since petals can't be removed until later stage",count,1,1
Conospermum ericifolium,"fruit, just starting","still covered by petals or petals just fallen off; includes bract (petals removed and weighed separately as ""flower - petals"")",count,1,1
Conospermum ericifolium,"fruit, young",green fruit; bract a separate part,count,1,1
Conospermum ericifolium,"fruit, large immature, stage 01",orange fruit; bract a separate part,count,1,1
Conospermum ericifolium,"fruit, mature",bright orange fruit; bract a separate part,count,1,1
Conospermum ericifolium,"bract, fruit","bract from a young fruit, large immature fruit or mature fruit",count,1,1
Epacris microphylla,"bud, tiny",buds that are just starting to form; includes all flower parts,count\_per\_length; count,15,15
Epacris microphylla,"bud, mid-sized","mid-sized buds; all flower parts, including pedicel",count\_per\_length; count,15,15
Epacris microphylla,"bud, big",large buds; includes all flower parts,count\_per\_length; count,15,15
Epacris microphylla,"petals, in flower",petals removed from finished flower because you can't separate them while in flower; just did 6 more,count\_per\_length; count,15,15
Epacris microphylla,"calyx, flower","includes calyx, pedicel, carpel, stamensof flowers in full bloom; collected parts include petals, but their weight is subtracted off",count\_per\_length; count,15,15
Epacris microphylla,finished flower,"includes calyx, pedicel, carpel, stamens as petals are wilting",count\_per\_length; count,15,15
Epacris microphylla,"fruit, young",young fruit that is a brown sphere visible within the calyx; includes calyx and pedicel,count\_per\_length; count,15,15
Epacris microphylla,"fruit, large immature, stage 01","stage at which the fruit is beginning to bulge out of the calyx, but is not yet hardening; includes calyx and pedicel",count\_per\_length; count,15,15
Epacris microphylla,seed pod,"mature fruit, including calyx and pedicel (because they are fused to the fruit and therefore part of the dispersal unit); weight of seeds subtracted off",count\_per\_length; count,15,15
Epacris microphylla,seed,seed,count\_per\_length; count,1,1
Grevillea buxifolia,"inflorescence stalk, in flower","inflorescence stalk for buds, flowers or finished flowers",count,variable,1
Grevillea buxifolia,"inflorescence bud, small",inflorescence bud; weight includes stalk and miniature buds; stage before individual buds are discernable,count,variable,1
Grevillea buxifolia,"bud, tiny",buds that are just discernable; includes all flower parts; counted per flower,count,2,2
Grevillea buxifolia,"bud, small",small buds; includes all flower parts; counted per flower,count,2,2
Grevillea buxifolia,"bud, mid-sized",mid-sized buds; includes all flower parts; counted per flower,count,2,2
Grevillea buxifolia,"bud, big",large buds; includes all flower parts; counted per flower,count,2,2
Grevillea buxifolia,"petals, in flower",petals and stamens,count,2,2
Grevillea buxifolia,"carpel, in flower",carpel and pedicel,count,2,2
Grevillea buxifolia,"carpel, finished flower",carpel and pedicel after petals have been shed,count,2,2
Grevillea buxifolia,"fruit, just starting","2-3 mm fruit, measured as swollen section; includes pedicel",count,2,2
Grevillea buxifolia,"fruit, young","4-6 mm fruit, measured as swollen section; includes pedicel",count,2,2
Grevillea buxifolia,"fruit, large immature, stage 01","fruit more than 7 mm in length, the point at which the seeds begin to expand more; a fruit can grow and stay at this ""stage"" for several censuses",length,2,2
Grevillea buxifolia,"fruit, large immature, stage 02","fruit more than 7 mm in length, the point at which the seeds begin to expand more; a fruit can grow and stay at this ""stage"" for several censuses",length,2,2
Grevillea buxifolia,"fruit, large immature, stage 03","fruit more than 7 mm in length, the point at which the seeds begin to expand more; a fruit can grow and stay at this ""stage"" for several censuses",length,2,2
Grevillea buxifolia,"fruit, large immature, stage 04","fruit more than 7 mm in length, the point at which the seeds begin to expand more; a fruit can grow and stay at this ""stage"" for several censuses",length,2,2
Grevillea buxifolia,"fruit, large immature, stage 05","fruit more than 7 mm in length, the point at which the seeds begin to expand more; a fruit can grow and stay at this ""stage"" for several censuses",length,2,2
Grevillea buxifolia,"fruit, large immature, stage 06","fruit more than 7 mm in length, the point at which the seeds begin to expand more; a fruit can grow and stay at this ""stage"" for several censuses",length,2,2
Grevillea buxifolia,pedicel,"pedicel from a mature fruit; considered a separate part once at ""fruit large immature"" as this is when they start expanding",count,2,2
Grevillea buxifolia,seed pod,seed pod once seed is mature; varies considerably by length; does not include pedicel,length,2,2
Grevillea buxifolia,"seed, aborted",seeds that are quite flat and much lighter than others of similar length,count,1,1
Grevillea buxifolia,seed,mature seeds weighed from pod; all similar weight regardless of pod length,count,1,1
